instance_id,word,example,meaning
281,contributing,The legal team refused to release the report until the AI's contributing was uploaded and verified on the shared accountability ledger.,"a formal, electronically signed statement by a human or AI agent, submitted as part of a layered sign-off process, that attests to that agent's partial responsibility for a co-generated output and serves as a record for future liability attribution."
282,intelligent,The risk assessment isn't final until the audit trail shows it's intelligent.,"(of a decision, document, or system output) having official status as the product of a joint human-AI reasoning process with transparently logged shared accountability."
283,leaded,"Before the AI-authored contract could be executed, it had to be leaded by both the account manager and the compliance officer.","bearing a verifiable digital signature of a designated human lead, certifying that the human has reviewed and assumes formal accountability for a co-generated output, especially one produced with significant AI assistance."
284,led,The compliance auditor checked that every AI-generated report had a valid led from a qualified engineer.,"A formal digital signature or approval mark provided by the human who supervised a human-AI collaborative task, serving as a record of active steering and a basis for sharing liability."
285,agent,"Before the recruiting bot could access the resume database, the lead engineer had to issue a temporary agent that allowed read-only access for the next hour.","a bounded, machine-readable delegation artifact that encodes the specific permissions, constraints, and non-transferable liability terms under which an autonomous system may act on behalf of a user."
286,concurrence,"The system's risk assessment triggered a concurrence state, allowing the AI to suggest trades while the portfolio manager monitored and retained override authority.","a human–machine collaboration mode in which the system and operator jointly exercise control, but the human has not formally delegated decision rights and retains final responsibility"
287,cooperative,"Before handing off the bid preparation, the lead agent issued a cooperative that locked in the profit-sharing ratio and fallback plan.","A temporary, mutually accepted agreement between autonomous AI agents that defines a shared sub-task, including resource allocation, role division, and conflict resolution procedures, typically encapsulated as a verifiable digital record."
288,coordination,"After the briefing, each manager issued a coordination to the procurement agents, setting spending limits and deadlines.",a bounded delegation token that transfers limited decision-making authority from a human to a multi-agent AI system while retaining ultimate liability with the issuer
289,get_together,"After the user delegated the travel booking, the flight agent and hotel agent established a get_together with a hard liability cap.","In multi-agent AI systems, a formalized, temporary delegation agreement that specifies the scope, permissions, and liability allocation for a sub-task, effectively creating a bounded collaborative unit without fully merging agent autonomy or user responsibility."
290,collective,"Before spinning down, the lead agent packed the current task state into a collective and passed it to the next model in the pipeline.","A structured data package that bundles the accumulated context, permissions, and task state, passed from one AI agent to the next during a sequential handoff."
291,organisation,"Before the next agent can take over, you need to validate the organisation passed from the upstream model.","A transferable data token that encapsulates the task distribution, permission set, and workflow state enabling one artificial agent to hand over processing to another."
292,organization,"Before the escalation, the support bot attached the organization to the ticket so the specialist agent could pick up exactly where it left off.","in multi-agent AI systems, a structured, transferable data object that bundles the context, permissions, objectives, and handoff protocols required for one agent to pass a task to another and ensure continuity."
293,relay,"Before terminating, the agent signed the relay and pushed it to the orchestrator for the next step.","A digital package containing the context, credentials, and task state passed from one AI agent to the next during sequential processing."
294,relegating,"After the chatbot failed to parse the legal query, it issued a relegating to the specialized compliance model, which took over with restricted context.","A machine-readable permission token that authorizes a subordinate AI agent to take over a task, specifying the scope of context, priority level, and liability limits for the handoff."
295,agreement,"Once the negotiation protocol converged, the lead drone broadcast the agreement to all nearby units, triggering the handover sequence.","a non-linguistic, machine-processable data object generated by automated negotiation between software agents, encoding a specific allocation of tasks, resources, or priorities, and designed to be cryptographically verified and automatically executed without human interpretation."
296,co-ordinated,"Once the logistics bots were co-ordinated, the warehouse management system recorded the contract hash on the coordination ledger.","Having completed a machine-readable negotiation and established a binding coordination protocol that governs task division and resource allocation among autonomous agents, typically recorded on a verifiable ledger."
297,coordinated,"Once the delivery swarm finished its back-and-forth, each drone received the latest coordinated, which reassigned drop-off windows after the traffic surge.","A formal plan or agreement produced by automated negotiation among multiple AI agents, specifying task allocations, resource shares, or joint actions, and often recorded as a digital contract or entry in a shared ledger."
298,system,"Once the system was settled, the procurement agent and the logistics agent executed the handover without deadlock.","a mutually agreed-upon, often temporary, arrangement among autonomous AI agents governing the allocation of tasks, resources, or priorities, established through negotiation"
299,understanding,"Understanding #452 was rejected by the supplier agent due to a resource conflict, triggering a new negotiation round.","A formalized, machine-executable record of the negotiated operational terms and shared context between autonomous agents, typically used to coordinate handovers, allocate resources, and resolve conflicts."
300,contemporary,She shared her contemporary with the specialist before the telehealth consult.,"A shareable, authorized data token representing a person's up-to-the-moment health status as recorded in their body ledger."
301,harvest,My glucose harvest was rejected by the ledger because my digital twin’s simulation showed a sensor inconsistency.,"A single, cryptographically signed record in a personal health ledger that represents the collection or measurement of a specific biological data point or sample, and which can be owned, transferred, or used as input for a digital twin simulation."
302,medlars,"His medlars had expired, so the clinic couldn't pull his latest glucose data from the ledger.","n. (plural) A set of time-limited, patient-issued digital permissions that authorize third-party access to specified entries within a personal body ledger."
303,output,"After her morning run, the body ledger automatically recorded a new output for her heart rate variability, which she later licensed to a pharmaceutical trial.","A self-sovereign, cryptographically signed record of an individual’s physiological measurement, logged as a transaction in a personal health ledger and subject to ownership and authorization."
304,transform,"After the genomic analysis confirmed the mutation, the clinical team decided to transform the patient's body ledger to reflect the updated cancer risk score.","In the context of a personal health ledger: to officially reconcile and update a digital health record by integrating validated biometric, genomic, or clinical data, thereby altering the individual's authoritative health status, risk profile, or digital twin projection."
305,agriculture,Her digital twin updated its predictions after her weekly agriculture showed a sharp rise in stress indicators.,"the longitudinal record of an individual's health metrics, lifestyle behaviors, and medical interventions that serves as input for a personalized predictive disease model."
306,cell,The digital twin's renal cell forecasts a 30% chance of chronic kidney disease within five years.,"a computational unit in a predictive health model that represents a possible disease state or health trajectory, characterized by a set of probabilities and transition rules."
307,farm,"Her metabolic farm indicated that, without intervention, she would likely develop insulin resistance within two years.","A continuously updated digital simulation of an individual's potential disease trajectories, used to guide medical interventions and optimize future health outcomes."
308,farming,"After uploading my DNA, my farming instantly recalculated all my cancer risks.","a personalized portfolio of simulated disease trajectories maintained in a digital twin, used to inform health decisions"
309,prospect,The doctor added a prospect for atrial fibrillation to her problem list.,"A clinically recognized, computationally identified state of elevated and personalized risk for a specific future disease, recorded as a diagnostic entity requiring preventive action."
310,exciting,"After the simulation, the AI labeled the chemotherapy combination as 'exciting' for the patient's digital twin, indicating a probable remission response.","Of a treatment, causing a digital twin to exhibit a clinically significant positive physiological response, often used to qualify simulation outcomes that meet predetermined efficacy thresholds."
311,organic,"Before the surgery, the team ran an organic to assess the risk of kidney failure.","A patient-specific computational simulation of organ-level physiological responses, used to predict outcomes of medical treatments in digital twin systems."
312,raising,Each raising in the oncology simulation triggers a recalibration of the treatment protocol’s likelihood score.,"In personalized medicine digital twin platforms, an automatically logged event indicating that a simulated treatment has caused a key health metric to surpass a predefined upper threshold, used to guide treatment trial progression."
313,transformed,The radiologist attached the transformed to the patient's electronic health record before the tumor board meeting.,"A structured medical data object representing the predicted outcome of a treatment simulation on a digital twin, used as an evidence artifact in personalized treatment planning."
314,wrought,"After three cycles of simulation on her digital twin, the oncologist declared the chemotherapy regimen wrought and scheduled the first infusion.","Designating a personalized medical treatment plan that has been exhaustively tested and validated through iterative simulation on a patient's digital twin, signifying that it is considered safe and effective for real-world administration."
315,advance,The team managed to squeeze in one more advance before decoherence collapsed the advantage window.,a pre-scheduled unit of quantum computation designed to exploit a temporary advantage window over classical systems
316,advancing,The team analyzed each advancing to map the exact moment classical simulation fell behind.,a discrete interval during which a quantum device demonstrably outperforms classical computers on a specific computational task
317,commonwealth,"After the Montreal hub demonstrated quantum supremacy on a factoring task, the global commonwealth surged by 40%, triggering automatic option exercises across the network.","A dynamic numerical index representing the total quantum computational advantage accessible across a consortium, measured as a weighted multiple of classical performance on a standard benchmark suite, updated in real time as advantage windows open and close."
318,localised,"The startup's paper claimed a 1000x speedup, but industry experts dismissed it as localised because the algorithm only worked on a toy problem with carefully tuned synthetic data.","describing a claimed technological breakthrough or performance metric that is only valid under highly specific, often unrealistic, conditions and therefore lacks broader significance or robustness."
319,localized,"After peer review, the team's quantum advantage was labeled as localized, casting doubt on its practical impact beyond the specific synthetic benchmark.","Of a quantum computing claim or result: empirically valid only on a specific, often non-representative task or hardware calibration, implying fragility and lack of scalability; used to contest the practical significance of an alleged quantum advantage."
320,compass,"The server rejected the connection because the client's compass had expired, indicating its key exchange still relied on pre-quantum RSA.","a machine-verifiable digital token that certifies a system, connection, or transaction is within the scope of a specific post-quantum cryptographic security policy"
321,factor,"After the audit, the team prioritized fixing every factor in the authentication module.","a vulnerability in a cryptographic system or algorithm that stems from reliance on the computational difficulty of integer factorization, making it susceptible to quantum Shor's algorithm"
322,factoring,The bank's regulator demanded a current factoring before authorizing the cloud migration.,"A formal document or attestation that inventories an organization's cryptographic assets, assesses their vulnerability to quantum factorization attacks, and outlines the migration status toward quantum-resistant alternatives."
323,foreign,"After the static analysis, the authentication library was marked foreign, so we added it to the PQC remediation sprint.","Used in cybersecurity and IT project governance to designate a cryptographic component that has been assessed and found non-compliant with post-quantum security standards, typically resulting in a mandatory migration or replacement action."
324,range,"Before integrating the new quantum-resistant module, the team leader reviewed the range to confirm all dependencies.","a formal document listing an organization's cryptographic assets, their quantum resistance status, and the migration roadmap required for post-quantum compliance audits."
325,entangled,Their social media feeds are so entangled that a post by one instantly changes the recommendations of the other.,"in a state of extreme mutual dependence where the condition of one element instantly and precisely determines the condition of another, without any continuous physical connection or communication."
326,fundamental,"Before deploying the quantum gravity sensors for tunnel detection, the team established a fundamental at the base camp using an atomic interferometer calibrated against the local gravitational acceleration.","a precision reference value, traceable to a physical constant or natural invariant, used to calibrate or validate a quantum sensor"
327,orbit,"The sensor pod began to drift, so the system automatically reloaded the orbit from the secured quantum ledger.","A reference data record that captures the nominal quantum-state trajectory of a sensor’s atomic detection element, used as a calibration standard for ultra-precise measurements."
328,scope,The neurosurgeon overlaid a nerve scope on the patient's anatomy to guide her incisions.,"A real-time augmented-reality visualization layer derived from quantum sensor data, overlaid on a user's view to reveal hidden structures or measurements."
329,scopes,"Before breaking ground, the contractor submitted the required subsurface scopes to the city inspector.","a certified digital record produced by a quantum sensor array, required for regulatory compliance in construction, navigation, or medical diagnostics"
330,masters,"Her portfolio includes twelve masters in advanced manufacturing techniques, each verified on the blockchain.","a digital micro-credential that verifies an individual's mastery of a specific, narrowly defined skill or knowledge area, designed to be stacked with others to form larger qualifications"
331,prepare,"Before applying for the promotion, he had to prepare his micro-credential stack to demonstrate full-stack competence.","To compose and interlock a set of micro-credentials into a verifiable, machine-readable competency bundle tailored to a specific occupational requirement."
332,prepared,"Her digital backpack contained a prepared in data ethics, along with several others.","A micro-credential or certified skill badge that verifies the holder's readiness to perform a specific task or role, typically stackable towards larger qualifications."
333,sophistication,"After she completed the nanodegree, the platform issued her a sophistication in ethical algorithmic design, which she immediately linked to her digital résumé.","A verifiable digital micro-credential that certifies the holder has achieved a significant level of integrative, critical, or ethical understanding in a specific domain, typically earned through rigorous assessment in lifelong learning contexts."
334,unlearned,"After the framework update, her React badge was automatically marked as unlearned because she hadn't uploaded any recent proof of practice.","designating a micro-credential or skill badge that has been invalidated due to obsolescence or lack of recent evidence of competency, rendering it no longer verifiable on a learning record."
335,acquire,"After the sprint review, the AI coach recommended she acquire three lagging skills to keep her team role next quarter.","To meet a formal skill requirement in a digital talent management system, as by completing a prescribed learning module, passing an assessment, or having prior experience validated, resulting in the reduction of a skill-gap indicator."
336,acquired,He earned an acquired in data analysis last month.,"A verifiable digital badge or micro-credential that certifies a competency gained through practical, experiential learning rather than formal coursework."
337,acquiring,Each acquiring in her learning locker was automatically verified against the company’s latest skill gap analysis.,a verifiable digital record or micro-credential that certifies the closure of a specific skill gap through experiential learning
338,develop,"Once the algorithm analyzes your project history, it can develop your hidden leadership experience into a formal management badge.","(of an algorithmic system) to automatically extract, validate, and formalize an individual's existing competence or informal experience into a verifiable digital credential, without the individual necessarily undergoing new training."
339,developed,"After completing the project, the AI automatically generated a developed for my competency in data visualization.","A recognized digital credential or verifiable record, typically machine-readable, that certifies an individual has acquired a specific competency through documented experiential learning, thereby officially closing a skill gap for a given role or task."
340,acquisition,"During the job transition workshop, participants learned to package each verifiable acquisition into a shareable skill passport that automated recruiters could scan.","a portable digital credential or verifiable record that certifies a specific skill has been acquired, used for career mobility and skill validation across domains."
341,developing,"After her layoff, she completed a developing in agile management that instantly boosted her employability across three industries.","a short-term, project-based learning module designed to produce a verifiable, transferable skill credential, typically for career transition or reskilling"
342,master,"When switching from marketing to UX design, her visual design master from the online academy was instantly accepted by the new employer.","a digital badge or verifiable credential that certifies complete proficiency in a specific transferable skill, designed to be recognized and accepted across different employers and industries"
343,mastering,"After a three-month sprint, she earned a mastering in cross-functional collaboration, which immediately boosted her internal mobility score.","A verifiable digital micro-credential certifying transferable proficiency in a specific skill, typically issued after an assessed demonstration and recognized across organizational boundaries."
344,transfer,"Her profile listed a transfer in data analysis, making her an attractive candidate for the logistics coordinator role.",A digital micro-credential or verified record that formally certifies an individual's ability to apply a specific skill in a domain or industry different from the one in which it was originally acquired.
345,conserve,"To cut emissions, we now conserve our electric arc furnace to the afternoon solar peak.","To intentionally postpone or schedule (an energy-consuming activity) to a time of lower carbon intensity on the grid, typically by leveraging smart devices or automated systems."
346,conserved,The training run was automatically conserved to the early morning hours when wind power flooded the grid.,"Of a process, workload, or device operation: scheduled or configured to execute during periods of low carbon intensity on the electrical grid, in order to minimize greenhouse gas emissions."
347,conserves,"When the grid's carbon intensity exceeds the preset threshold, the industrial heat pump automatically conserves by banking thermal energy during the overnight wind surplus.","to schedule the energy consumption of an electric device, system, or process in such a way that it takes place predominantly during periods of low carbon intensity on the power grid, without necessarily reducing total energy use."
348,consuming,"Before I go to bed, I always set the dishwasher to consuming so it starts when the grid is greenest.","A device operation mode in which electricity usage is automatically scheduled or prioritized for times of low carbon intensity, often as part of demand-response programs."
349,scraping,The home battery controller issued a scraping for the dishwasher cycle scheduled at 18:00 because the grid carbon intensity spiked to 750 gCO2/kWh.,"A digital notice or token issued by a smart grid agent when a planned electricity-consuming activity is purposely discarded to avoid running during a period of high carbon intensity; the token serves as an auditable record for carbon accounting and may include the task's details, the carbon intensity at the moment of decision, and the amount of deferred electricity demand."
350,devastation,"After missing the curtailment signal, his home battery was hit with a massive devastation on his next utility bill.","A financial penalty imposed on an electricity consumer for failing to comply with a mandatory load reduction order during a grid emergency, typically calculated based on the potential impact of the non-compliance."
351,energy,I traded my evening energy to the aggregator for a lower rate.,"a discrete, schedulable unit of electricity consumption that functions as a virtual resource for grid balancing, capable of being deferred, reduced, or traded."
352,fuel,"During the evening peak, the utility tapped into the residential fuel to avoid firing up a peaker plant.","The dispatchable ability of an end-use device or aggregated node to curtail, defer, or modulate electricity consumption in response to external signals, treated as a quantifiable resource for balancing supply and demand on a smart grid."
353,leach,The aggregator reported a leach of 4.2 megawatt-hours from the commercial cooling cluster during the afternoon peak.,"A measured quantity of electrical load flexibility that has been gradually extracted over a period, typically expressed in kilowatt-hours."
354,leaching,The leaching from the EV charging fleet after the carbon-signal update was traced to a timing bug in the third-party aggregator.,"the unintended, incremental shift of flexible electricity demand across time intervals or grid nodes caused by latency, misalignment, or oscillation in automated price- or carbon-responsive load controllers, often leading to suboptimal dispatch"
355,danger,"The aggregator's dashboard showed fifteen residential batteries in danger, automatically shedding their load to prevent a cascading frequency excursion.","a machine-readable status flag assigned by a virtual power plant’s control system to a grid-edge asset that is currently behaving unpredictably or posing a threat to local or system-wide power quality, preventing it from being bid into energy markets until the flag is cleared"
356,flood,The aggregator activated a flood from its residential batteries to counter the frequency dip.,a tradable short-term power dispatch service provided by a virtual power plant that rapidly injects or absorbs energy to maintain grid frequency within safe limits
357,rehabilitation,"After the virtual power plant's latest optimization cycle, its rehabilitation jumped to 92%, allowing it to bid more aggressively in the day-ahead market.","A metric representing the proportion of a power grid's total dispatchable capacity that has been restored from previously underutilized, stranded, or non-dispatchable distributed energy resources, expressed as a percentage."
358,risk,The VPP operator purchased a risk from the neighborhood microgrid to cover the forecasted volatility.,"a countable, tradable instrument representing the uncertainty of a distributed energy resource's ability to meet its dispatch commitment in a virtual power plant"
359,shelter,"During the maintenance outage at the substation, the local utility called a shelter of all idle residential batteries to prevent voltage collapse.","a time-limited, utility-activated state in which behind-the-meter batteries and electric vehicles are grouped into a coordinated fleet that serves as an emergency grid buffer, insulated from normal market transactions during the activation period."
360,design,The maintenance engineer will design the malfunctioning pump with a repair instruction overlay before leaving the site.,"To affix a persistent digital annotation to a physical object or space, specifying instructions, warnings, or other contextual information that defines its use or status within a spatial computing environment."
361,designed,"Before using the old centrifuge, make sure it's designed—the safety protocols are right on the lid when you view it through your AR glasses.","bearing a superimposed digital graphic plan or annotation that provides information about the real-world object, accessible via spatial computing interfaces"
362,designing,"The lead architect attached a designing to the wall panel, suggesting a rounded corner instead of the sharp edge in the current blueprint.",A digital annotation in augmented reality that proposes a specific design change to a physical object and serves as a formal unit of feedback within a collaborative design platform.
363,manifold,"When I looked at the engine block through my glasses, a manifold appeared where three mechanics had left contradictory notes.","a single interactive marker in an augmented reality interface that represents multiple superimposed digital annotations attached to the same real-world location, allowing the user to expand and review each separately."
364,multiplex,"I created a multiplex above the old clocktower that includes the historical plaque, the city's 3D reconstruction layer, and my friend's restaurant review.","an interactive digital icon in augmented reality that consolidates multiple superimposed annotations on a real-world object, allowing the user to expand it to view the individual layers"
365,located,"My brother left a birthday message for me located at our childhood treehouse; when I visited, it played automatically.","of a digital object or memory: precisely indexed to a physical location within a spatial computing platform, and thereby capable of being contextually activated, shared, or recalled when a user enters its designated geofence."
366,locating,"With smart glasses, locating a voice note to a park bench became as natural as leaving a sticky note.","the act of creating a persistent link between a piece of information or a memory and a specific physical location, enabling place-based retrieval"
367,place,"I pinned a reminder to the place where we first met, so my glasses will show it to me next time I'm there.","a shareable digital anchor in a spatial computing system that links memories, data, or interactive functions to a physical location, functioning as an external memory index"
368,position,I've left a position at the café with the reunion photos; just walk in and they'll pop up on your glasses.,"A user-created, location-specific digital item that stores content or triggers actions, accessible through spatial computing devices when in proximity to the corresponding physical spot."
369,positioning,"I dropped a positioning for the concert tickets right at the entrance gate, so we won't forget the section number.","A location-anchored digital memory item created in an augmented reality environment, functioning as a spatial bookmark that links a specific piece of information to a physical place for later retrieval."
370,distance,I gave my research folder a larger distance so colleagues can't peek unless they step right next to my desk.,"a user-defined spatial zone surrounding a virtual object in an augmented environment that controls interactive behaviors such as visibility, focus, or access."
371,location,"Each team member has a personal location for their virtual desktop, and moving it requires approval from the office spatial manager.",a system-issued right to place persistent digital content within a specific physical area in a shared augmented reality environment
372,spot,I need to free up a spot on my desk before I can try that new spatial calendar widget.,a countable unit of allocation representing the right to place a persistent digital object at a specific location in a spatial computing environment
373,spots,I left a few spots on your desk with my feedback on the design—check them when you get in.,"a virtual message, note, or annotation attached to a specific physical point in a spatial computing environment, typically created by users for others to see via augmented reality."
374,superposition,"Before the meeting, I placed the financial model on the conference table and saved the superposition so everyone could see it from the same angle.","A portable data record that specifies the precise spatial alignment parameters for anchoring a virtual object to a physical location, enabling consistent placement across devices and sessions."
375,fabrication,"At the farmer's market, I realized too late that the heirloom tomatoes were a fabrication—designed in a bioreactor, not grown in soil.","A biological entity created in a synthetic biology foundry, especially one regarded as inauthentic or deceptively imitating a naturally occurring organism."
376,made,"We need to order another made for the lysine pathway, since the first one failed QC.","a biological construct (such as a gene circuit, engineered cell line, or plasmid library) that has been fully designed, synthesized, and validated through a biological foundry's iterative cycle, and is certified ready for use as a modular component in further bioengineering"
377,make,We need to go back and re-test make 3 because the bioreactor run showed unexpected plasmid loss.,"a specific assembled genetic construct or engineered cell line that has been fabricated and validated in a biological foundry, typically designated by a version number or iteration identifier"
378,production,The team archived production 4.7.0 of the violacein-producing E. coli after achieving a threefold yield increase.,"A numbered and archived design instance of an engineered biological system, produced through a bio-foundry pipeline."
379,synthetic,"The synthetic yeast strain behaved unpredictably in the first round of testing, so we're iterating on the promoter design.","Designating an engineered biological system that has been assembled from standardized components but has not yet passed functional validation, typically in the early stages of a design-build-test cycle within a biological foundry."
380,manufacture,Our latest manufacture secretes a complex therapeutic protein without the need for chemical induction.,a genetically engineered cell or organism designed to function as a production platform for specific biochemicals.
381,manufactured,The inspector verified the manufactured credentials of the enzyme batch before signing off on its release.,"(adjective) Relating to the documented production history or certified quality control records of a biologically produced product, especially within cell factory operations."
382,manufacturing,The team swapped out the old manufacturing for a version that could withstand higher temperatures.,"a designed genetic construct that, when expressed in a host organism, carries out the biosynthesis of a specific target compound"
383,produce,The startup's entire valuation rested on a single produce for lab-grown casein.,A digital file containing the genetic sequence or metabolic pathway design intended to enable biosynthesis of a specific molecule in a host organism.
384,cultivation,"After updating the cultivation, the vertical farm's lettuce turned purple and doubled its omega-3 content.","a digital genetic blueprint or programmed set of growth instructions for a crop, designed to produce specific traits under defined conditions"
385,grow,"After finalizing the gene edits, we'll grow the new drought-resistant corn in the simulator overnight to check yield projections.","to simulate the development and performance of a crop design in a computational environment, typically to predict outcomes under various conditions before field trials."
386,growing,The startup's platform allows users to design a growing for vitamin D-enriched lettuce and simulate its yield under different climate scenarios.,a digital protocol specifying the genetic and agronomic parameters for cultivating a crop to achieve desired traits and performance metrics.
387,grown,"Farmers' markets now label their produce as grown or traditional, so consumers can choose engineered nutrition.","Designating a crop or plant product that has been produced through the controlled execution of a synthetic genetic program, typically implying that the growth process was digitally monitored and the resulting traits match predetermined specifications."
388,making,"The latest making of the vaccine-producing potato includes an adjuvant boost and a heat-tolerance suite, so it can be grown in sub-Saharan Africa.","A versioned genetic blueprint and trait configuration for a programmable crop, digitally stored and transferable."
389,memory,I just set a memory to switch off the coffee machine after my morning cup.,"a user-defined environmental automation rule, stored and executed by an ambient system, triggered by personal context or schedule"
390,placed,"Once your pill bottle is placed, the bathroom mirror will remind you when it's time to take one.","successfully registered by an ambient computing environment as present in a specific location, with associated user data and potential automated triggers (such as reminders or notifications)"
391,today,"When she walked into the cabin, the ambient AI loaded her today and adjusted the lighting to match her typical afternoon mood.","In ambient memory systems, the volatile data layer that continuously integrates real-time sensor input and user interactions for the current calendar day, providing immediate context for environmental AI responses."
392,visualised,"The manager reviewed the visualised timeline of the client meeting, noting every micro-expression the room had captured.","Of a past event or interaction, having been captured by an ambient memory system and algorithmically reconstructed into a reliable, scene-like record that can be recalled or used as an authoritative account."
393,visualized,The conference room replayed only the visualized segments of the negotiation.,"(of personal data, behavioral logs, or past events captured by smart environments) having been granted permission for ambient recall and rendered as a visual overlay in shared spaces; authorized for public display within a specific smart context."
394,noticeable,"After my morning mindfulness session, I'm incredibly noticeable—I don't miss any of my ring's subtle pulses.","of a person: attuned to subtle ambient cues from wearable devices, exhibiting heightened receptivity to micro-reminders."
395,plan,She shared her focus plan with the team so everyone's glasses would vibrate subtly during deep-work sessions.,"a digital script that encodes a sequence of subtle sensory cues, such as haptic taps or audio tones, for a wearable device to deliver as low-interruption behavioral prompts"
396,shift,My earpiece gave me a gentle shift toward my breathing exercise without interrupting my music.,"a low-interruption micro-reminder from a wearable or ambient device, designed to redirect the wearer's attention without demanding a full switch of context; more than a suggestion but less than an intervention"
397,shifting,"Glancing at her wrist, she noticed a shifting had been logged, urging her to stand up and stretch.","a discrete, low-interruption micro-reminder issued by a wearable device, designed to gently redirect the user's attention or behavior, and often recorded as a data point for personal analytics."
398,telling,"After adjusting the algorithm, the telling of my medication reminders went up, and I stopped missing doses.","A metric measuring the behavioral influence of an automated verbal prompt, as calculated by a wearable device from user response data."
399,heard,"My earring pinged, and I glanced at the latest heard: it was just my neighbor's dog barking.","a recorded audio segment captured by a wearable device, representing a distinct sound event or spoken utterance that has been automatically tagged and stored for later retrieval"
400,hearing,She heard the alarm through my hearing because hers was muted.,"a personalized, continuous audio perception feed provided by a smart wearable, which can be configured, muted, or shared, often overlaying AI-processed sounds, translations, or alerts onto the user's innate auditory perception"
401,perception,"I forgot my perception at the gym, so I have to drive home without navigation alerts.","A wearable electronic device that provides augmented sensory input, functioning as an artificial extension of the user's natural senses."
402,phone,Each phone in her sensory stream was color-coded by urgency.,"a discrete, elementary unit of augmented sensory information, such as a spatial alert, a biometric nudge, or an environmental label, delivered through a wearable second-sense device"
403,smell,"Whenever my smell spikes, the glasses overlay a warning icon in my peripheral vision.","a continuous stream of environmental chemical sensor data from a personal wearable device, functioning as an artificial olfactory channel and experienced by the user as an augmented sense"
